

Minimum : 8

Score : 8

 (Subject#Professor#Student Group)

Room Number: LAB1

Timings: ,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Days
Monday,(R#Ravi#BE-CSE 5 SEMESTER),(R#Ravi#BE-CSE 5 SEMESTER),(R#Ravi#BE-CSE 5 SEMESTER),BREAK,(MLlab#Amit#BE-CSE=3 SEMESTER),(MLlab#Amit#BE-CSE=3 SEMESTER),(MLlab#Amit#BE-CSE=3 SEMESTER),
Tuesday,(R#Ravi#BE-CSE=3 SEMESTER),(R#Ravi#BE-CSE=3 SEMESTER),(R#Ravi#BE-CSE=3 SEMESTER),BREAK,(R#Ravi#BE-CSE 5 SEMESTER),(R#Ravi#BE-CSE 5 SEMESTER),(R#Ravi#BE-CSE 5 SEMESTER),
Wednesday,(R#Ravi#BE-CSE 5 SEMESTER),(R#Ravi#BE-CSE 5 SEMESTER),(R#Ravi#BE-CSE 5 SEMESTER),BREAK,(mllab#Monica#BE-CSE 5 SEMESTER),(mllab#Monica#BE-CSE 5 SEMESTER),(mllab#Monica#BE-CSE 5 SEMESTER),
Thursday,(R#Ravi#BE-CSE=3 SEMESTER),(R#Ravi#BE-CSE=3 SEMESTER),(R#Ravi#BE-CSE=3 SEMESTER),BREAK,(mllab#Monica#BE-CSE=3 SEMESTER),(mllab#Monica#BE-CSE=3 SEMESTER),(mllab#Monica#BE-CSE=3 SEMESTER),
Friday,(mllab#Monica#BE-CSE=3 SEMESTER),(mllab#Monica#BE-CSE=3 SEMESTER),(mllab#Monica#BE-CSE=3 SEMESTER),BREAK,(mllab#Monica#BE-CSE 5 SEMESTER),(mllab#Monica#BE-CSE 5 SEMESTER),(mllab#Monica#BE-CSE 5 SEMESTER),
Saturday,(R#Ravi#BE-CSE=3 SEMESTER),(R#Ravi#BE-CSE=3 SEMESTER),(R#Ravi#BE-CSE=3 SEMESTER),BREAK,(MLlab#Amit#BE-CSE 5 SEMESTER),(MLlab#Amit#BE-CSE 5 SEMESTER),(MLlab#Amit#BE-CSE 5 SEMESTER),



Room Number: L502

Timings: ,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Days
Monday,(DM#Shruti#BE-CSE 5 SEMESTER),(ss#Ramrao#BE-CSE 5 SEMESTER),(UML#Rama#BE-CSE 5 SEMESTER),BREAK,(ML#Amit#BE-CSE=3 SEMESTER),(DM#Shruti#BE-CSE 5 SEMESTER),(ML#Amit#BE-CSE=3 SEMESTER),
Tuesday,(DM#Shruti#BE-CSE 5 SEMESTER),(DM#Shruti#BE-CSE 5 SEMESTER),(UML#Rama#BE-CSE 5 SEMESTER),BREAK,FREE LECTURE,(UML#Rama#BE-CSE 5 SEMESTER),(ML#Amit#BE-CSE=3 SEMESTER),
Wednesday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Thursday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Friday,(ML#Amit#BE-CSE=3 SEMESTER),(DAA#Rama#BE-CSE 5 SEMESTER),(DAA#Rama#BE-CSE 5 SEMESTER),BREAK,(UML#Rama#BE-CSE 5 SEMESTER),(DAA#Rama#BE-CSE 5 SEMESTER),(DAA#Rama#BE-CSE 5 SEMESTER),
Saturday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,



Room Number: L501

Timings: ,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Days
Monday,(ML#Amit#BE-CSE 5 SEMESTER),FREE LECTURE,(py#Ranjit#BE-CSE=3 SEMESTER),BREAK,(ML#Amit#BE-CSE 5 SEMESTER),(ML#Amit#BE-CSE 5 SEMESTER),(ML#Amit#BE-CSE 5 SEMESTER),
Tuesday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Wednesday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Thursday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Friday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Saturday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,

